"","ID","TDU","REP","PRODUCT","KWH500","KWH1000","KWH2000","RATE_TYPE","RENEWABLE","TERM_LENGTH","PREPAID","TOU","PROMOTION","FACTS_URL"
"1","59","电子电器","重货","AutoPay E-Plan",15.1,12.2,11.7,"是",16,12,"老客户","否","散客","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-nongreen.pdf"
"2","60","电子电器","重货","Clear Blue Skies AutoPay E-Plan",15.6,12.7,12.2,"是",100,12,"老客户","否","散客","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-green.pdf"
"3","62","电子电器","同城配","TXU Energy MarketEdge ",15.8,14.4,13.7,"否",6,0,"老客户","否","散客","http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TCXMKTEDNS00AH_ENG.pdf"
"4","66","电子电器","其他","Autopay E-Plan ",13.8,10.9,10.4,"是",16,12,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen.pdf"
"5","68","电子电器","其他","AutoPay E-Plan",17,14.1,13.6,"否",16,1,"老客户","否","散客","https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf"
"6","69","电子电器","其他","Green Earth Autopay E-plan ",14.2,11.3,10.8,"是",100,12,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-12-green.pdf"
"7","618","电子电器","特惠","Residential Electricity... Plain and simple.",15.3,13.6,12.8,"否",8,0,"老客户","否","散客","https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/"
"8","960","电子电器","其他","3 Month Fixed Rate AutoPay E-Plan",17.2,14.3,13.8,"是",16,3,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-3-nongreen.pdf"
"9","971","电子电器","其他","6 Month Fixed Rate Autopay E-Plan",14.8,11.9,11.4,"是",16,6,"老客户","否","散客","http://www.yeptexas.com/Docs/yep-efl-fixed-6-nongreen.pdf"
"10","1306","电子电器","重货","Spirit Of Texas AutoPay E-Plan",13.7,10.8,10.3,"是",16,12,"老客户","否","散客","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen.pdf"
"11","1311","电子电器","重货","Healthy Heart Of Texas AutoPay E-Plan",14.1,11.2,10.7,"是",100,12,"老客户","否","散客","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-green.pdf"
"12","1433","电子电器","电商","Affordable Saver 12",12.4,10.6,10.6,"是",12,12,"老客户","否","散客","https://enroll.apge.com/Offer/getDocument?documentId=10&offerCode=AEC_RES_12_FIXED_WEB"
"13","1526","电子电器","时效","Fantastic Fixed 6",14.9,13.5,12.8,"是",14,6,"老客户","否","散客","http://www.bounceenergy.com/efls/fantasticfixed6-071018.pdf"
